물질키_InChIKey14,Murcko골격,eye_구분,eye_출처,skin_구분,skin_출처,대표성분명,대표CAS,대표SMILES,등장제형수
MIZMDSVSLSIMSC,O=C1COC(=O)CNC(=O)COC(=O)CNC(=O)COC(=O)CN1,,,,,Enniatin B,917-13-5,CC(C)[C@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N1C,2
MKHVZQXYWACUQC,__ACYCLIC__,,,,,EC index no : 606,,CCCCCCCCCCCCOS(=O)(=O)O.OCCNCCO,2
MLKCGVHIFJBRCD,O=c1[nH]cnn1-c1ccccc1,NC,팀원A,NC,팀원A,Carfentrazone-ethyl,128639-02-1,CCOC(=O)C(Cl)CC1=C(Cl)C=C(F)C(=C1)N1N=C(C)N(C(F)F)C1=O,8
MMKBQSJLLGHVIM,c1cc[n+](Cc2ccc(C[n+]3ccccc3)cc2)cc1,,,,,"Synonyms : DPX,dpx mountant",14208-10-7,[Br-].[Br-].c1cc[n+](Cc2ccc(C[n+]3ccccc3)cc2)cc1,1
MMOXZBCLCQITDF,c1ccccc1,2,팀원A,2,팀원A,DEET,134-62-3,CCN(CC)C(=O)C1=CC=CC(C)=C1,6
MNHVNIJQQRJYDH,S=c1nc[nH]n1CC(Cc1ccccc1)C1CC1,NC,팀원A,NC,팀원A,Prothioconazole,178928-70-6,OC(Cc1ccccc1Cl)(Cn1[nH]cnc1=S)C1(Cl)CC1,15
MNNHAPBLZZVQHP,__ACYCLIC__,,,,,Diammonium Phosphate 0-8,7783-28-0,O=P([O-])([O-])O.[NH4+].[NH4+],2
MNRHCELBXZARFX,O=C1OC2CC(CC=CC(OC3CCC(OC4CCCCO4)CO3)CC=CC=C3COC4CC=CC1C34)OC1(C=CCCO1)C2,NC,phase1,NC,phase1,Avermectin A1b,65195-52-0,CO[C@H]1C[C@H](O[C@H]2[C@H](C)O[C@H](C[C@@H]2OC)O[C@H]2[C@@H](C)C=CC=C3/CO[C@@H]4[C@H](OC)C(C)=C[C@@H](C(=O)O[C@H]5C[C@@H](CC=C2/C)O[C@@]2(C5)O[C@H](C(C)C)[C@@H](C)C=C2)[C@]34O)O[C@@H](C)[C@@H]1O,1
MOOOPNRPJGZXPE,c1ccccc1,2,팀원A,2,팀원A,"2,6-Dinitro-4-methylaniline",6393-42-6,CC1=CC(=C(N)C(=C1)[N+]([O-])=O)[N+]([O-])=O,2
MOYAFQVGZZPNRA,C=C1CC=CCC1,NC,phase1,2,phase1,Terpinolene,,CC1=CCC(=C(C)C)CC1,8
MQPHVIPKLRXGDJ,O=C1CC2CC(C1)C2,,,,,Isopinocamphone (3-Pinanone),15358-88-0,CC1C(=O)CC2CC1C2(C)C,1
MQRJBSHKWOFOGF,__ACYCLIC__,2A,phase1,NC,phase1,Sodium Carbonate Monohydrate,,O.O=C([O-])[O-].[Na+].[Na+],1
MRBKEAMVRSLQPH,c1ccccc1,,,,,Butylated hydroxyanisole,25013-16-5,COc1ccc(O)c(C(C)(C)C)c1,1
MSFGZHUJTJBYFA,O=c1nc[nH]c(=O)[nH]1,2A,phase1,NC,phase1,Sodium Dichloro-S-Triazinetrione,2893-78-9,O=c1nc([O-])n(Cl)c(=O)n1Cl.[Na+],8
MSJMDZAOKORVFC,__ACYCLIC__,,,,,"Maleic acid, disodium salt",,O=C([O-])/C=C\C(=O)[O-].[Na+].[Na+],2
MSLRPWGRFCKNIZ,__ACYCLIC__,1,팀원A,NC,팀원A,Sodium carbonate peroxyhydrate,15630-89-4,O=C([O-])[O-].O=C([O-])[O-].OO.OO.OO.[Na+].[Na+].[Na+].[Na+],1
MUJOIMFVNIBMKC,c1cc2c(c(-c3cc[nH]c3)c1)OCO2,NC,팀원A,NC,팀원A,Fludioxonil,131341-86-1,N#Cc1c[nH]cc1-c1cccc2c1OC(F)(F)O2,44
MVPPADPHJFYWMZ,c1ccccc1,,,,,Chlorobenzene,,Clc1ccccc1,1
MWBPRDONLNQCFV,__ACYCLIC__,,,,,Tri-allate,,CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C,1
MWKVXOJATACCCH,C1=NOC(c2ccccc2)(c2ccccc2)C1,NC,팀원A,NC,팀원A,"Ethyl 5,5-diphenyl-2-isoxazoline-3-carboxylate",163520-33-0,CCOC(=O)C1=NOC(c2ccccc2)(c2ccccc2)C1,2
MXWJVTOOROXGIU,c1ncncn1,NC,phase1,NC,phase1,Atrazine,1912-24-9,CCNC1=NC(NC(C)C)=NC(Cl)=N1,17
MYMOFIZGZYHOMD,__ACYCLIC__,,,,,oxygen 0.0001,,O=O,2
MZHCENGPTKEIGP,c1ccccc1,1,팀원A,2,팀원A,단일 성분,15165-67-0,CC(Oc1ccc(Cl)cc1Cl)C(=O)O,3
NAGRVUXEKKZNHT,O=C(Nc1ncccn1)NS(=O)(=O)c1cnc2ccccn12,NC,팀원A,NC,팀원A,Imazosulfuron,122548-33-8,COC1=CC(OC)=NC(NC(=O)NS(=O)(=O)C2=C(Cl)N=C3C=CC=CN23)=N1,4
NBIIXXVUZAFLBC,__ACYCLIC__,,,,,Phosphoric acid,7664-38-2,OP(O)(O)=O,1
NCKMMSIFQUPKCK,c1ccc(Cc2ccccc2)cc1,1,phase1,2,phase1,Clorophene,120-32-1,OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1,1
NCLRGQCNIDLTDW,O=C1NS(=O)(=O)[N-]c2ccccc21,,,,,Bentazone-sodium,,CC(C)N1C(=O)c2ccccc2[N-]S1(=O)=O.[Na+],1
NCXUIEDQTCQZRK,__ACYCLIC__,,,,,For explanation of abbreviations see section 16,17265-14-4,O=C([O-])CCCCCCCCC(=O)[O-].[Na+].[Na+],2
NDVASEGYNIMXJL,C=C1CCC2CC12,,,,,Sabinene,,C=C1CCC2(C(C)C)CC12,3
NEHNMFOYXAPHSD,__ACYCLIC__,,,,,Citronellal,,CC(C)=CCCC(C)CC=O,3
NFACJZMKEDPNKN,__ACYCLIC__,NC,팀원A,NC,팀원A,Trichlorfon,52-68-6,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,4
NFGXHKASABOEEW,__ACYCLIC__,NC,phase1,NC,phase1,S-Methoprene,65733-16-6,COC(C)(C)CCC[C@H](C)CC=CC(C)=CC(=O)OC(C)C,10
NFLGAXVYCFJBMK,O=C1CCCCC1,,,,,p-Menthan-3-one,,CC1CCC(C(C)C)C(=O)C1,1
NHDHVHZZCFYRSB,c1ccc(Oc2ccc(OCCOc3ccccn3)cc2)cc1,NC,phase1,NC,phase1,Pyriproxyfen,95737-68-1,CC(COC1=CC=C(OC2=CC=CC=C2)C=C1)OC1=NC=CC=C1,15
NIFKBBMCXCMCAO,O=C(Nc1ncccn1)NS(=O)(=O)c1ccccc1,NC,팀원A,NC,팀원A,Mesosulfuron-methyl,208465-21-8,COC(=O)c1ccc(CNS(C)(=O)=O)cc1S(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1,7
NINIDFKCEFEMDL,__ACYCLIC__,NC,phase1,2,phase1,Sulphur,7704-34-9,[S],31
NIXXQNOQHKNPEJ,c1ccncc1,1,팀원A,NC,팀원A,Aminopyralid,150114-71-9,NC1=CC(Cl)=NC(C(O)=O)=C1Cl,2
NLJMYIDDQXHKNR,__ACYCLIC__,,,,,Molecular Weight : 294.10,6132-04-3,O.O.O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],2
NLZUEZXRPGMBCV,c1ccccc1,NC,팀원A,NC,팀원A,"2,6-Di-tert-butyl-4-methylphenol",128-37-0,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,6
NMGNJWORLGLLHQ,O=C(Nc1ccccc1)Nc1ccccc1Oc1ccccc1,NC,팀원A,NC,팀원A,"Sodium 5-chloro-2-(4-chloro-2-(3-(3,4-dichlorophenyl)ureido)phenoxy)benzenesulfonate",3567-25-7,[Na+].[O-]S(=O)(=O)C1=CC(Cl)=CC=C1OC1=C(NC(=O)NC2=CC(Cl)=C(Cl)C=C2)C=C(Cl)C=C1,2
NNPPMTNAJDCUHE,__ACYCLIC__,NC,팀원A,NC,팀원A,isobutane,75-28-5,CC(C)C,8
NNRLDGQZIVUQTE,C=C1CCCCC1,,,,,Gamma-Terpineol,,CC(C)=C1CCC(C)(O)CC1,1
NOEGNKMFWQHSLB,c1ccoc1,2,팀원A,2,팀원A,5-(Hydroxymethyl)-2-furfural,67-47-0,OCC1=CC=C(O1)C=O,2
NOLXQSVNNIIHMV,__ACYCLIC__,,,,,sodium-di-ethyl-hexyl-sulfosuccinate,,CCCCCCC(C(=O)[O-])(C(CC)(CC)C(=O)[O-])S(=O)(=O)O.[Na+].[Na+],2
NPNUFJAVOOONJE,C=C1CCC=CCCC2CCC12,,,,,(-)-Caryophyllene,87-44-5,C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,12
NQDJXKOVJZTUJA,O=C1Nc2cccnc2N(C2CC2)c2ncccc21,NC,phase1,NC,phase1,Nevirapine,,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,1
NQHXCOAXSHGTIA,O=C(NC(CCN1CCC2CCCCC2C1)CSc1ccccc1)c1ccccc1,NC,phase1,NC,phase1,Nelfinavir Mesylate,,CS(=O)(=O)O.Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,1
NQQBTWVFKDDVIB,c1ccncc1,1,팀원A,NC,팀원A,Clopyralid-olamine,57754-85-5,NCCO.OC(=O)C1=C(Cl)C=CC(Cl)=N1,8
NQXWGWZJXJUMQB,__ACYCLIC__,,,,,Ferric chloride hexahydrate,10025-77-1,O.O.O.O.O.O.[Cl-].[Cl-].[Cl-].[Fe+3],4
NRBLRTXFXBXILY,c1ccc(Nc2ccccc2)cc1,,,,,OKS 476,68411-46-1,C=C(C)CC(C)(C)C.c1ccc(Nc2ccccc2)cc1,2
NRZWYNLTFLDQQX,c1ccccc1,1,phase1,1,phase1,4-(2-Methylbutan-2-yl)phenol,80-46-6,CCC(C)(C)C1=CC=C(O)C=C1,1
NSTLSXSJOBWQLC,__ACYCLIC__,,,,,"butoxy, isopropylamine salt , phosphate (2-hydroxypropyl) ammonium",431040-31-2,CC(O)CN.O=P(O)(O)O,2
NSWAMPCUPHPTTC,O=C(Nc1ncccn1)NS(=O)(=O)c1ccccc1,NC,phase1,NC,phase1,Chlorimuron Ethyl 10.5,90982-32-4,CCOC(=O)c1ccccc1S(=O)(=O)NC(=O)Nc1nc(Cl)cc(OC)n1,6
NTHWMYGWWRZVTN,__ACYCLIC__,1,팀원A,1,팀원A,SODIUM METASILICATE,6834-92-0,O=[Si]([O-])[O-].[Na+].[Na+],5
NTIZESTWPVYFNL,__ACYCLIC__,2,팀원A,NC,팀원A,methylpentan-2-one 5- <10,108-10-1,CC(=O)CC(C)C,2
NTKBNCABAMQDIG,__ACYCLIC__,,,,,Butoxypolypropylene glycol,9003-13-8,CCCCOCCCO,2
NTLJTUMJJWVCTL,__ACYCLIC__,,,,,Methyl non-2-ynoate (Methyl 2-nonynoate),,CCCCCCC#CC(=O)OC,1
NUMQCACRALPSHD,__ACYCLIC__,,,,,Ethyl tert-butyl ether,,CCOC(C)(C)C,2
NUPJIGQFXCQJBK,O=C1CN=C(c2ccccn2)N1,,,,,imazamox,,COCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(C(=O)O)c1,2
NVCJXEUDHCBDGI,O=c1ccn(C2CCCO2)c(=O)[nH]1,,,,,Polyoxorim-zinc,146659-78-1,NC(=O)OC[C@H](O)[C@@H](O)[C@H](N)C(=O)N[C@H](C(=O)[O-])[C@H]1O[C@@H](n2cc(C(=O)[O-])c(=O)[nH]c2=O)[C@H](O)[C@@H]1O.[Zn+2],1
NVEQFIOZRFFVFW,C=C1CCC2OC2CCC2CCC12,,,,,Caryophyllene oxide,,C=C1CC[C@H]2O[C@]2(C)CC[C@@H]2[C@@H]1CC2(C)C,1
NWWZPOKUUAIXIW,N=C1NCOCN1Cc1cncs1,NC,phase1,NC,phase1,Thiamethoxam,153719-23-4,CN1COCN(Cc2cnc(Cl)s2)/C1=N/[N+](=O)[O-],36
NYPJDWWKZLNGGM,O=C(Cc1ccccc1)OCc1cccc(Oc2ccccc2)c1,NC,phase1,NC,phase1,Esfenvalerate,66230-04-4,CC(C)[C@H](C(=O)O[C@H](C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1,10
OAKJQQAXSVQMHS,__ACYCLIC__,,,,,DIAMINE,,NN,2
OAYXUHPQHDHDDZ,__ACYCLIC__,2A,phase1,NC,phase1,Diethylene Glycol Monobutyl Ether,,CCCCOCCOCCO,1
OCBHHZMJRVXXQK,c1ccccc1,,,,,Alkyl dimethyl ethylbenzyl ammonium chlorides,68391-01-5,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],2
ODGAOXROABLFNM,__ACYCLIC__,,,,,Urea formaldehyde resin -; R53,68002-19-7,C=O.NC(N)=O,2
ODPOAESBSUKMHD,c1cc[n+]2c(c1)-c1cccc[n+]1CC2,2A,phase1,2,phase1,Diquat dibromide,85-00-7,[Br-].[Br-].C1C[N+]2=CC=CC=C2C2=CC=CC=[N+]12,8
OEBRKCOSUFCWJD,__ACYCLIC__,NC,팀원A,NC,팀원A,Dichlorvos,62-73-7,COP(=O)(OC)OC=C(Cl)Cl,11
OFCQYQOZASISIU,c1ccccc1,1,팀원A,NC,팀원A,Mecoprop-P-potassium,66423-05-0,[K+].C[C@@H](OC1=C(C)C=C(Cl)C=C1)C([O-])=O,1
OFHHDSQXFXLTKC,__ACYCLIC__,,,,,Undecylenic aldehyde,112-45-8,C=CCCCCCCCCC=O,1
OFTZZDZZNXTWFO,O=C1CNC(=O)N1,NC,팀원A,1,팀원A,"1,3-Dichloro-5-ethyl-5-methyl-hydantoin",89415-87-2,CCC1(C)N(Cl)C(=O)N(Cl)C1=O,1
OGLDWXZKYODSOB,C1=CCCC=C1,,,,,alpha-PHELLANDRENE,,CC1=CCC(C(C)C)C=C1,3
OHORFAFFMDIQRR,__ACYCLIC__,1,팀원A,1,팀원A,Hydrofluorosilicic Acid,16961-83-4,F[Si-2](F)(F)(F)(F)F.[H+].[H+],2
OILAIQUEIWYQPH,O=C1CCCCC1=O,,,,,cyclohexanedione,,O=C1CCCCC1=O,2
OIPMQULDKWSNGX,__ACYCLIC__,,,,,Fosetyl Aluminium,39148-24-8,CCOP(=O)=O.CCOP(=O)=O.CCOP(=O)=O.[Al+3],4
OJDDJQYSKDIXOE,__ACYCLIC__,,,,,Tridecyl Alcohol Ethoxylated,24938-91-8,CCCCCCCCCCCCCOCCO,2
OKKJLVBELUTLKV,__ACYCLIC__,NC,phase1,NC,phase1,Methanol,67-56-1,CO,27
OKTJSMMVPCPJKN,__ACYCLIC__,,,,,Carbon black,1333-86-4,[C],2
OLZQTUCTGLHFTQ,c1ccncc1,NC,팀원A,NC,팀원A,Fluroxypyr-meptyl,81406-37-3,CCCCCCC(C)OC(=O)COC1=NC(F)=C(Cl)C(N)=C1Cl,12
OMFRMAHOUUJSGP,O=C(OCc1cccc(-c2ccccc2)c1)C1CC1,NC,phase1,NC,phase1,Bifenthrin,82657-04-3,Cc1c(COC(=O)[C@@H]2[C@H](/C=C(\Cl)C(F)(F)F)C2(C)C)cccc1-c1ccccc1,71
ONCZDRURRATYFI,C(=NOCc1ccccc1)c1ccccc1,NC,팀원A,NC,팀원A,Trifloxystrobin,141517-21-7,CO/N=C(/C(=O)OC)c1ccccc1CO/N=C(\C)c1cccc(C(F)(F)F)c1,16
ONUFESLQCSAYKA,O=C1CNC(=O)N1c1ccccc1,NC,팀원A,NC,팀원A,Iprodione,36734-19-7,CC(C)NC(=O)N1CC(=O)N(C1=O)C1=CC(Cl)=CC(Cl)=C1,10
OORLZFUTLGXMEF,O=c1[nH]cnn1-c1ccccc1,2,팀원A,NC,팀원A,Sulfentrazone,122836-35-5,CC1=NN(C(=O)N1C(F)F)C1=CC(NS(C)(=O)=O)=C(Cl)C=C1Cl,6
OPAGOSHJYNFXGD,__ACYCLIC__,,,,,Cobaltous neodecanoate,,CCCCCCC(C)(C)C(=O)[O-].CCCCCCC(C)(C)C(=O)[O-].[Co+2],2
OPGCOAPTHCZZIW,C1=NN(c2ccccc2)CC1,NC,팀원A,NC,팀원A,Mefenpyr-diethyl,135590-91-9,CCOC(=O)C1=NN(c2ccc(Cl)cc2Cl)C(C)(C(=O)OCC)C1,6
ORFPWVRKFLOQHK,O=c1[nH]cn[nH]1,NC,팀원A,NC,팀원A,RN,129909-90-6,CC(C)c1nn(C(=O)NC(C)(C)C)c(=O)n1N,5
OSDLLIBGSJNGJE,c1ccccc1,2,팀원A,2,팀원A,"4-Chloro-3,5-dimethylphenol",88-04-0,CC1=CC(O)=CC(C)=C1Cl,3
OSGAYBCDTDRGGQ,__ACYCLIC__,,,,,Calcium sulfate,,O=S(=O)([O-])[O-].[Ca+2],1
OSVXSBDYLRYLIG,__ACYCLIC__,1,팀원A,1,팀원A,Chlorine dioxide,10049-04-4,[O][Cl]=O,2
OSWPMRLSEDHDFF,c1ccccc1,,,,,1-2 methyl salicylate,119-36-8,COC(=O)c1ccccc1O,2
OTPSWLRZXRHDNX,c1cc[nH+]cc1.c1cc[nH+]cc1,1,phase1,NC,phase1,Zinc Pyrithione <5,13463-41-7,[O-][n+]1ccccc1[S-].[O-][n+]1ccccc1[S-].[Zn+2],3
OTYBMLCTZGSZBG,__ACYCLIC__,,,,,Potassium Sulfate 5-20,7778-80-5,O=S(=O)([O-])[O-].[K+].[K+],3
OVSKIKFHRZPJSS,c1ccccc1,1,팀원A,NC,팀원A,"2,4-Dichlorophenoxyacetic acid",94-75-7,OC(=O)COC1=C(Cl)C=C(Cl)C=C1,4
OVXRPXGVKBHGQO,C1=CC2=CCC3CCCCC3C2CC1,2A,phase1,NC,phase1,Methyl abietate (Methyl rosinate / Abalyn),127-25-3,COC(=O)[C@]1(C)CCC[C@@]2(C)[C@H]1CC=C1C=C(C(C)C)CC[C@@H]12,1
OWNRRUFOJXFKCU,O=c1oc2ccccc2cc1C(CCc1ccc(-c2ccccc2)cc1)c1ccccc1,NC,팀원A,NC,팀원A,Bromadiolone,28772-56-7,OC(CC(C1=CC=CC=C1)C1=C(O)C2=C(OC1=O)C=CC=C2)C1=CC=C(C=C1)C1=CC=C(Br)C=C1,2
OWZREIFADZCYQD,O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1,NC,팀원A,NC,팀원A,Deltamethrin,52918-63-5,CC1(C)[C@H](C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2)[C@@H]1C=C(Br)Br,13
OXCMYAYHXIHQOA,c1ccc(-c2nnn[n-]2)c(-c2ccc(Cn3ccnc3)cc2)c1,,,,,Losartan >= 30 - <,124750-99-8,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1.[K+],2
OYIKARCXOQLFHF,O=C(c1ccccc1)c1cnoc1C1CC1,NC,phase1,NC,phase1,Isoxaflutole,141112-29-0,CS(=O)(=O)c1cc(C(F)(F)F)ccc1C(=O)c1cnoc1C1CC1,7
PASHVRUKOFIRIK,__ACYCLIC__,NC,팀원A,NC,팀원A,Gypsum (Ca(SO4).2H2O) - 5.00%,13397-24-5,O.O.O=S(=O)([O-])[O-].[Ca+2],2
PBKBMLILZYXPBO,C1=CCCCC1,2A,phase1,2,phase1,"3-Methyl-4-(2,4,6-trimethyl-3-cyclohexen-1-yl)-3-buten-2-one",,CC(=O)/C(C)=C/C1C(C)C=C(C)CC1C,1
PCCSBWNGDMYFCW,O=C1OC(c2ccc(Oc3ccccc3)cc2)C(=O)N1Nc1ccccc1,,,,,Famoxadone,,CC1(c2ccc(Oc3ccccc3)cc2)OC(=O)N(Nc2ccccc2)C1=O,1
PDQAZBWRQCGBEV,S=C1NCCN1,,,,,Ethylene Thiourea,,S=C1NCCN1,1
PDSNLYSELAIEBU,C=C1C2CCC3C1CCCCC23,,,,,Longifolene,,C=C1[C@H]2CC[C@@H]3[C@H]2C(C)(C)CCC[C@]13C,1
PDZKZMQQDCHTNF,__ACYCLIC__,,,,,Cuprous thiocyanate,,N#C[S-].[Cu+],1
PEDCQBHIVMGVHV,__ACYCLIC__,NC,phase1,NC,phase1,Glycerine 3-5 Solvent,56-81-5,OCC(O)CO,31
PETXWIMJICIQTQ,c1ccccc1,,,,,Benzyloxymethanol >= 0.1 - <,,OCOCc1ccccc1,1
PFFIDZXUXFLSSR,O=C(Nc1ccsc1)c1cn[nH]c1,NC,phase1,NC,phase1,Penthiopyrad,183675-82-3,CC(C)CC(C)C1=C(NC(=O)C2=CN(C)N=C2C(F)(F)F)C=CS1,13
PGOOBECODWQEAB,c1cscn1,NC,phase1,NC,phase1,Clothianidin,210880-92-5,CN/C(=N\[N+](=O)[O-])NCc1cnc(Cl)s1,31
PIAOLBVUVDXHHL,c1ccccc1,,,,,Beta-nitrostyrene,,O=[N+]([O-])C=Cc1ccccc1,1
PIEXCQIOSMOEOU,O=C1CNC(=O)N1,NC,팀원A,1,팀원A,"1-Bromo-3-chloro-5,5-dimethylhydantoin",16079-88-2,CC1(C)N(Br)C(=O)N(Cl)C1=O,1
PLNNJQXIITYYTN,__ACYCLIC__,2,팀원A,2,팀원A,Isobutyric acid hydrazide,3619-17-8,CC(C)C(=O)NN,1
PMHURSZHKKJGBM,O=C(Nc1ccno1)c1ccccc1,NC,팀원A,NC,팀원A,Isoxaben,82558-50-7,CCC(C)(CC)C1=NOC(NC(=O)C2=C(OC)C=CC=C2OC)=C1,2
PMZURENOXWZQFD,__ACYCLIC__,NC,팀원A,NC,팀원A,Sodium sulfate max. NA,7757-82-6,O=S(=O)([O-])[O-].[Na+].[Na+],2
POAOYUHQDCAZBD,__ACYCLIC__,2A,phase1,2,phase1,2-butoxyethanol,111-76-2,CCCCOCCO,7
PORQOHRXAJJKGK,O=c1ccs[nH]1,,,,,"4,5-Dichloro-2-N-octyl-4-isothiazolin-3-one <0.075",64359-81-5,CCCCCCCCn1sc(Cl)c(Cl)c1=O,2
PPBRXRYQALVLMV,c1ccccc1,2A,phase1,2,phase1,Styrene,,C=Cc1ccccc1,1
PPDBOQMNKNNODG,C(=C1CCCC1Cn1cncn1)c1ccccc1,NC,팀원A,NC,팀원A,Triticonazole,131983-72-7,CC1(C)CC/C(=C\c2ccc(Cl)cc2)C1(O)Cn1cncn1,14
PQKBPHSEKWERTG,c1ccc(Oc2nc3ccccc3o2)cc1,NC,팀원A,NC,팀원A,Fenoxaprop-P-ethyl,71283-80-2,CCOC(=O)[C@@H](C)Oc1ccc(Oc2nc3ccc(Cl)cc3o2)cc1,2
PSOVNZZNOMJUBI,O=C(Nc1ccccc1)c1ccnn1-c1ccccn1,2A,phase1,NC,phase1,Chlorantraniliprole,500008-45-7,CNC(=O)c1cc(Cl)cc(C)c1NC(=O)c1cc(Br)nn1-c1ncccc1Cl,10
PSQYTAPXSHCGMF,C1=CCCCC1,,,,,"4-(2,6,6-Trimethyl-1-cyclohexen-1-yl)-3-buten-2-one",14901-07-6,CC(=O)C=CC1=C(C)CCCC1(C)C,1
PTCGDEVVHUXTMP,O=C(Nc1ccccc1)c1ccccc1,NC,팀원A,NC,팀원A,Flutolanil,66332-96-5,CC(C)Oc1cccc(NC(=O)c2ccccc2C(F)(F)F)c1,2
PUYXTUJWRLOUCW,C1CCC2(CC1)OCCO2,,,,,spiroxamine >98,118134-30-8,CCCN(CC)CC1COC2(CCC(C(C)(C)C)CC2)O1,3
PXMNMQRDXWABCY,c1ccc(CCCCn2cncn2)cc1,NC,팀원A,NC,팀원A,Tebuconazole,107534-96-3,CC(C)(C)C(O)(CCC1=CC=C(Cl)C=C1)CN1C=NC=N1,72
PYZSVQVRHDXQSL,O=c1c2sccsc=2c(=O)c2ccccc12,,,,,Dithianon,,N#Cc1sc2c(=O)c3ccccc3c(=O)c=2sc1C#N,2
PZBPKYOVPCNPJY,c1ccc(CCn2ccnc2)cc1,1,팀원A,NC,팀원A,Imazalil,35554-44-0,ClC1=CC(Cl)=C(C=C1)C(CN1C=CN=C1)OCC=C,10
QAOWNCQODCNURD,__ACYCLIC__,1,phase1,1,phase1,SULFURIC ACID,7664-93-9,O=S(=O)(O)O,8
QAQJMLQRFWZOBN,O=C1C=CCO1,,,,,Ascorbyl Palmitate,,CCCCCCCCCCCCCCCC(=O)OC[C@H](O)[C@H]1OC(=O)C(O)=C1O,2
QAYICIQNSGETAS,S=C1NCNCS1,2,팀원A,2,팀원A,Dazomet,533-74-4,CN1CSC(=S)N(C)C1,2
QCAWEPFNJXQPAN,O=C(NNC(=O)c1ccccc1)c1ccccc1,NC,팀원A,NC,팀원A,Methoxyfenozide,161050-58-4,COC1=CC=CC(C(=O)NN(C(=O)C2=CC(C)=CC(C)=C2)C(C)(C)C)=C1C,6
QCFYJCYNJLBDRT,__ACYCLIC__,,,,,2-Chloro-1-methylethylether,,CC(CCl)OC(C)CCl,1
QDRXWCAVUNHOGA,O=C1C=CC(=O)c2ccccc21,NC,팀원A,NC,팀원A,Acequinocyl,57960-19-7,CCCCCCCCCCCCC1=C(OC(C)=O)C(=O)C2=C(C=CC=C2)C1=O,2
QGBSISYHAICWAH,__ACYCLIC__,NC,phase1,NC,phase1,Cyanoguanidine,461-58-5,NC(=N)NC#N,1
QGHREAKMXXNCOA,c1ccccc1,NC,팀원A,NC,팀원A,Thiophanate-methyl,23564-05-8,COC(=O)NC(=S)NC1=C(NC(=S)NC(=O)OC)C=CC=C1,12
QGLZXHRNAYXIBU,__ACYCLIC__,NC,팀원A,NC,팀원A,Aldicarb,116-06-3,CNC(=O)ON=CC(C)(C)SC,3
QGZKDVFQNNGYKY,__ACYCLIC__,1,phase1,1,phase1,Ammonia,7664-41-7,N,1
QHOQHJPRIBSPCY,c1cncnc1,2,팀원A,2,팀원A,Pirimiphos Methyl,29232-93-7,CCN(CC)c1nc(C)cc(OP(=S)(OC)OC)n1,2
QIMMUPPBPVKWKM,c1ccc2ccccc2c1,NC,팀원A,NC,팀원A,2-Methylnaphthalene,91-57-6,Cc1ccc2ccccc2c1,2
QKUNKVYPGIOQNP,__ACYCLIC__,2A,phase1,2,phase1,None required. COMPOSITION OF INGREDIENTS. Percentage (by weight). 63449-39-8. CAS Number. Component.,63449-39-8,CCCC(Cl)CCCC(Cl)CCC(Cl)CCC(Cl)CCC(Cl)CCCC(Cl)CCC,1
QLQXSZZVUVMFHZ,O1[SiH]2O[SiH]3O[SiH]1O[SiH](O2)O3,NC,phase1,NC,phase1,Talc (Mg3H2(SiO3)) >= 1 - <,14807-96-6,[Mg+2].[Mg+2].[Mg+2].[O-][Si]12O[Si]3([O-])O[Si]([O-])(O1)O[Si]([O-])(O2)O3.[OH-].[OH-],6
QMVPMAAFGQKVCJ,__ACYCLIC__,2,팀원A,2,팀원A,Citronellol,7540-51-4,CC(C)=CCCC(C)CCO,3
QMYGFTJCQFEDST,__ACYCLIC__,,,,,3-Methoxy-1-butyl acetate,,COC(C)CCOC(C)=O,1
QNBTYORWCCMPQP,O=C(C=C(c1ccccc1)c1ccccc1)N1CCOCC1,NC,phase1,NC,phase1,Dimethomorph,110488-70-5,COC1=C(OC)C=C(C=C1)C(=CC(=O)N1CCOCC1)C1=CC=C(Cl)C=C1,9
QPUYECUOLPXSFR,c1ccc2ccccc2c1,2,팀원A,NC,팀원A,1-Methylnaphthalene,90-12-0,Cc1cccc2ccccc12,2
